Gene	Annotation
group_3839	FlgN protein
group_3843	preprotein translocase subunit SecD
group_3845	hypothetical protein
hisF	Imidazole glycerol phosphate synthase subunit HisF
rpe	Ribulose-phosphate 3-epimerase
carB	Carbamoyl-phosphate synthase large chain
hom	Homoserine dehydrogenase
glgE1	Alpha-1,4-glucan:maltose-1-phosphate maltosyltransferase 1
trmD	tRNA (guanine-N(1)-)-methyltransferase
rnc	Ribonuclease 3
leuD	3-isopropylmalate dehydratase small subunit
whiB	Transcriptional regulator WhiB
tmpC	Membrane lipoprotein TmpC precursor
bcr_1	Bicyclomycin resistance protein
hepT	Heptaprenyl diphosphate synthase component 2
ubiE	Ubiquinone/menaquinone biosynthesis C-methyltransferase UbiE
sdpR	Transcriptional repressor SdpR
group_387	hypothetical protein
lptB	High-affinity branched-chain amino acid transport ATP-binding protein LivF
uvrD1_1	ATP-dependent DNA helicase UvrD1
group_3880	Putative multidrug export ATP-binding/permease protein
bkdA	3-methyl-2-oxobutanoate dehydrogenase subunit alpha
idi	Isopentenyl-diphosphate Delta-isomerase
glyA1	Serine hydroxymethyltransferase 1
pepN_2	Aminopeptidase N
group_3905	hypothetical protein
group_3906	Rossmann-like domain protein
pfp	Pyrophosphate--fructose 6-phosphate 1-phosphotransferase
hemH	Ferrochelatase
group_3910	Putative NrdI-like protein
ydaF_2	Putative ribosomal N-acetyltransferase YdaF
gpr_2	L-glyceraldehyde 3-phosphate reductase
trxB_1	Thioredoxin reductase
group_3921	hypothetical protein
group_3922	Magnesium transporter MgtE
argC	N-acetyl-gamma-glutamyl-phosphate reductase
pheS	Phenylalanine--tRNA ligase alpha subunit
priA_2	Phosphoribosyl isomerase A
hisH	Imidazole glycerol phosphate synthase subunit HisH
helD	Helicase IV
group_3938	CGNR zinc finger
group_3940	hypothetical protein
group_3942	hypothetical protein
tdcB	L-threonine dehydratase catabolic TdcB
pyrE	Orotate phosphoribosyltransferase
tnrA	MerR family regulatory protein
group_4051	Trans,polycis-polyprenyl diphosphate synthase ((2Z,6E)-farnesyl diphosphate specific)
ppgK	Polyphosphate glucokinase
pdhD	Dihydrolipoyl dehydrogenase
group_4060	hypothetical protein
acnA	Aconitate hydratase
fadA	3-ketoacyl-CoA thiolase
fliQ	Flagellar biosynthetic protein FliQ
ylmA_1	putative ABC transporter ATP-binding protein YlmA
gltB_2	Glutamate synthase [NADPH] small chain
gltB_1	Glutamate synthase [NADPH] large chain
group_4079	hypothetical protein
argS	Arginine--tRNA ligase
group_4082	hypothetical protein
rsrA	hypothetical protein
frr	Ribosome-recycling factor
rpsB	30S ribosomal protein S2
xylE	D-xylose-proton symporter
sdhC	Succinate dehydrogenase/Fumarate reductase transmembrane subunit
dnaX_2	DNA polymerase III subunit tau
secE	preprotein translocase subunit SecE
group_4093	hypothetical protein
glmM	Phosphoglucosamine mutase
group_4097	hypothetical protein
ptpA_1	putative low molecular weight protein-tyrosine-phosphatase
livH	High-affinity branched-chain amino acid transport system permease protein LivH
glpD_1	Aerobic glycerol-3-phosphate dehydrogenase
yhaU	K( )/H( ) antiporter YhaU
galT	Galactose-1-phosphate uridylyltransferase
fdm_2	Formaldehyde dismutase
nei1_2	Endonuclease 8 1
rpiB_2	Ribose-5-phosphate isomerase B
group_4109	hypothetical protein
recQ_2	ATP-dependent DNA helicase RecQ
group_4111	hypothetical protein
argA	Amino-acid acetyltransferase
ppnK_1	putative inorganic polyphosphate/ATP-NAD kinase
lysX	Lysylphosphatidylglycerol biosynthesis bifunctional protein LysX
hemB	Delta-aminolevulinic acid dehydratase
helY_2	ski2-like helicase
sugC	Trehalose import ATP-binding protein SugC
gpmA_1	2,3-bisphosphoglycerate-dependent phosphoglycerate mutase
group_4121	hypothetical protein
pbpA	Penicillin-binding protein A
dapE_2	Succinyl-diaminopimelate desuccinylase
valS	Valine--tRNA ligase
hisB	Imidazoleglycerol-phosphate dehydratase
rsbV	Anti-sigma-B factor antagonist
group_4150	hypothetical protein
pstA	Phosphate transport system permease protein PstA
pstC	Phosphate transport system permease protein PstC
group_4160	hypothetical protein
hslR	Heat shock protein 15
dnaE	DNA polymerase III subunit alpha
ctaD	Cytochrome c oxidase subunit 1
dus	putative tRNA-dihydrouridine synthase
fabF	3-oxoacyl-[acyl-carrier-protein] synthase 2
fliR	Flagellar biosynthetic protein FliR
petB	Cytochrome b6
qcrC	Menaquinol-cytochrome c reductase cytochrome c subunit
carAc	Ferredoxin CarAc
uvrB	UvrABC system protein B
atpB	ATP synthase subunit a
thrC	Threonine synthase
ydhP	Inner membrane transport protein YdhP
gpsA	Glycerol-3-phosphate dehydrogenase [NAD(P) ]
ilvB	Acetolactate synthase large subunit
strE	dTDP-glucose 4,6-dehydratase
ptsH	Phosphocarrier protein HPr
nagC_1	N-acetylglucosamine repressor
fprA	NADPH-ferredoxin reductase FprA
rplD	50S ribosomal protein L4
rpsE	30S ribosomal protein S5
tsaD	tRNA N6-adenosine threonylcarbamoyltransferase
dps2	DNA protection during starvation protein 2
guaA	GMP synthase [glutamine-hydrolyzing]
pheA	Prephenate dehydratase
pgm	Phosphoglucomutase
rnhA	Ribonuclease HI
lysN_1	2-aminoadipate transaminase
crgA	Cell division protein CrgA
fhaA	FHA domain-containing protein FhaA
greA	Transcription elongation factor GreA
rapA	ATP-dependent helicase HepA
argB	Acetylglutamate kinase
metG	Methionine--tRNA ligase
ispE	4-diphosphocytidyl-2-C-methyl-D-erythritol kinase
soj_2	Sporulation initiation inhibitor protein Soj
ppnK_2	Inorganic polyphosphate/ATP-NAD kinase
group_4320	hypothetical protein
pstB3	Phosphate import ATP-binding protein PstB 3
garA	Glycogen accumulation regulator GarA
erpA	Iron-sulfur cluster insertion protein ErpA
group_4421	Putative peroxiredoxin/MT2298
rmpA	3-hexulose-6-phosphate synthase
group_4429	putative transcriptional regulatory protein/MSMEI_2866
fliP	flagellar biosynthesis protein FliO
ruvB	Holliday junction ATP-dependent DNA helicase RuvB
aioB	Arsenite oxidase subunit AioB precursor
fabG1	3-oxoacyl-[acyl-carrier-protein] reductase FabG1
tal_1	Transaldolase
group_4436	Glucose-6-phosphate dehydrogenase subunit
group_4437	hypothetical protein
hisG	ATP phosphoribosyltransferase
metK	S-adenosylmethionine synthase
rarA	Replication-associated recombination protein A
wecA	Decaprenyl-phosphate N-acetylglucosaminephosphotransferase
rpsP	30S ribosomal protein S16
otsA	Trehalose-phosphate synthase
glmS_2	Glutamine--fructose-6-phosphate aminotransferase [isomerizing]
purB	Adenylosuccinate lyase
guaB_1	Inosine-5'-monophosphate dehydrogenase
dcd	Deoxycytidine triphosphate deaminase
ftsH	ATP-dependent zinc metalloprotease FtsH
nucS	hypothetical protein
gtaB	UTP--glucose-1-phosphate uridylyltransferase
group_4474	hypothetical protein
group_4475	hypothetical protein
yidC_2	Membrane protein insertase YidC
dnaN	DNA polymerase III subunit beta
gyrB_1	DNA gyrase subunit B
group_4481	hypothetical protein
gcvH	Glycine cleavage system H protein
gltA2	Citrate synthase 1
group_4486	hypothetical protein
group_4489	hypothetical protein
dapA	4-hydroxy-tetrahydrodipicolinate synthase
pnp	Polyribonucleotide nucleotidyltransferase
xylA	Xylose isomerase
purL	Phosphoribosylformylglycinamidine synthase 2
tig	Trigger factor
ispB	Octaprenyl-diphosphate synthase
rpsT	30S ribosomal protein S20
flgC	Flagellar basal-body rod protein FlgC
ndh_1	NADH dehydrogenase-like protein
gapA	Glyceraldehyde-3-phosphate dehydrogenase
ispG	4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase
ftsX	Cell division protein FtsX
prfB	Peptide chain release factor 2
tsf	Elongation factor Ts
ffh	Signal recognition particle protein
ilvD	Dihydroxy-acid dehydratase
group_4643	hypothetical protein
uhpA_1	Transcriptional regulatory protein UhpA
group_4645	hypothetical protein
rplL	50S ribosomal protein L7/L12
sodA	Superoxide dismutase [Mn/Fe]
coaA	Pantothenate kinase
khtT	K( )/H( ) antiporter subunit KhtT
bkdB	3-methyl-2-oxobutanoate dehydrogenase subunit beta
lrp_2	Leucine-responsive regulatory protein
galE_2	UDP-glucose 4-epimerase
group_4658	hypothetical protein
ideR_2	Iron-dependent repressor IdeR
csp	Cold shock-like protein
group_4664	hypothetical protein
rpsF	30S ribosomal protein S6
gntZ	6-phosphogluconate dehydrogenase, NAD( )-dependent, decarboxylating
group_4668	Putative O-methyltransferase/MSMEI_4947
gatB	Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit B
group_469	hypothetical protein
pyrG	CTP synthase
lepB_2	Signal peptidase I
hrpB_1	ATP-dependent RNA helicase HrpB
mraY	Phospho-N-acetylmuramoyl-pentapeptide-transferase
lepA	Elongation factor 4
ybeY	Endoribonuclease YbeY
group_4786	carbohydrate diacid transcriptional activator CdaR
nreC_2	Transcriptional regulatory protein LiaR
pdxS	Pyridoxal biosynthesis lyase PdxS
ctaE	Cytochrome c oxidase subunit 3
glpK	Glycerol kinase
rbpA_2	RNA polymerase-binding protein RbpA
glgC	Glucose-1-phosphate adenylyltransferase
ctaB	Protoheme IX farnesyltransferase
rbpA_1	RNA polymerase-binding protein RbpA
ilvC	Ketol-acid reductoisomerase
pdtaS	putative sensor histidine kinase pdtaS
mtrA	DNA-binding response regulator MtrA
ycjP_1	Inner membrane ABC transporter permease protein YcjP
menB	1,4-Dihydroxy-2-naphthoyl-CoA synthase
rplE	50S ribosomal protein L5
deoR_2	Deoxyribonucleoside regulator
ppk	Polyphosphate kinase
fba	Fructose-bisphosphate aldolase
ndkA	Nucleoside diphosphate kinase
purA	Adenylosuccinate synthetase
der	GTPase Der
plsC_2	1-acyl-sn-glycerol-3-phosphate acyltransferase
relA	Bifunctional (p)ppGpp synthase/hydrolase relA
yurY	Vegetative protein 296
trpB	Tryptophan synthase beta chain
group_4998	hypothetical protein
atpG	ATP synthase gamma chain
prfA	Peptide chain release factor 1
group_5001	hypothetical protein
pyrH	Uridylate kinase
rplS	50S ribosomal protein L19
murA1	UDP-N-acetylglucosamine 1-carboxyvinyltransferase 1
srlR_1	Glucitol operon repressor
group_5011	putative nucleotide-binding protein
group_5012	leucine/isoleucine/valine transporter permease subunit
glmU_1	Bifunctional protein GlmU
nadD	Nicotinate-nucleotide adenylyltransferase
lexA	LexA repressor
cobC	bifunctional RNase H/acid phosphatase
group_5039	hypothetical protein
purS	phosphoribosylformylglycinamidine synthase subunit PurS
purF	Amidophosphoribosyltransferase
glyQS	Glycine--tRNA ligase
yheS_1	putative ABC transporter ATP-binding protein YheS
smpB	SsrA-binding protein
ftsY	Signal recognition particle receptor FtsY
sdhB	Succinate dehydrogenase iron-sulfur subunit
gsiA_6	Glutathione import ATP-binding protein GsiA
rplM	50S ribosomal protein L13
phoB	Phosphate regulon transcriptional regulatory protein PhoB
dnaB	Replicative DNA helicase
typA	GTP-binding protein TypA/BipA
group_517	hypothetical protein
fkbP_2	FK506-binding protein
purQ	Phosphoribosylformylglycinamidine synthase 1
gatC	Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit C
glkA	Glucokinase
sufB	FeS cluster assembly protein SufB
gpt	xanthine-guanine phosphoribosyltransferase
ftsE	Cell division ATP-binding protein FtsE
accD5	putative propionyl-CoA carboxylase beta chain 5
recR	Recombination protein RecR
group_5305	Helix-turn-helix domain protein
upp	Uracil phosphoribosyltransferase
rplX	50S ribosomal protein L24
rplR	50S ribosomal protein L18
sucD	Succinyl-CoA ligase [ADP-forming] subunit alpha
dnaK	Chaperone protein DnaK
cypB	Peptidyl-prolyl cis-trans isomerase B
eno	Enolase
nagD	Ribonucleotide monophosphatase NagD
tuaD_1	UDP-glucose 6-dehydrogenase TuaD
recA	recombinase A
ftsZ	Cell division protein FtsZ
whiA	Putative sporulation transcription regulator WhiA
pyk	Pyruvate kinase
rpsD	30S ribosomal protein S4
atpC	ATP synthase epsilon chain
atpA	ATP synthase subunit alpha
sdhA	Succinate dehydrogenase flavoprotein subunit
narL	putative transcriptional regulatory protein NarL
rpsQ	30S ribosomal protein S17
rplO	50S ribosomal protein L15
secY	preprotein translocase subunit SecY
rpsI	30S ribosomal protein S9
group_5486	putative oxidoreductase/MSMEI_1564
nrdF2	Ribonucleoside-diphosphate reductase subunit beta nrdF2
regX3_2	Sensory transduction protein regX3
prs	Ribose-phosphate pyrophosphokinase
atpF	ATP synthase subunit b
hmrR	hypothetical protein
mraZ	cell division protein MraZ
paaD	Putative 1,2-phenylacetyl-CoA epoxidase, subunit D
zwf_1	Glucose-6-phosphate 1-dehydrogenase
efp	Elongation factor P
ask	Aspartokinase
rplW	50S ribosomal protein L23
rplF	50S ribosomal protein L6
rpmB	50S ribosomal protein L28
hpt	Hypoxanthine-guanine phosphoribosyltransferase
nrdE2	Ribonucleoside-diphosphate reductase subunit alpha 2
groL1	60 kDa chaperonin 1
group_5682	Ferredoxin
clpP2_1	ATP-dependent Clp protease proteolytic subunit 2
clpP2_2	ATP-dependent Clp protease proteolytic subunit 2
rpmI	50S ribosomal protein L35
parA	Chromosome partitioning protein ParA
glnA	Glutamine synthetase
uhpA_2	Transcriptional regulatory protein UhpA
group_5883	hypothetical protein
rplA	50S ribosomal protein L1
fusA	Elongation factor G
tuf	Elongation factor Tu
rplC	50S ribosomal protein L3
rpmC	50S ribosomal protein L29
rpsH	30S ribosomal protein S8
rpsN	30S ribosomal protein S14
rplI	50S ribosomal protein L9
clpX	ATP-dependent Clp protease ATP-binding subunit ClpX
ilvH	Acetolactate synthase small subunit
trxA_1	Thioredoxin-1
rpmH	50S ribosomal protein L34
rpsO	30S ribosomal protein S15
acpP	Acyl carrier protein
rpoZ	DNA-directed RNA polymerase subunit omega
group_6447	hypothetical protein
rplJ	50S ribosomal protein L10
rpoB	DNA-directed RNA polymerase subunit beta
rplB	50S ribosomal protein L2
rplV	50S ribosomal protein L22
rpmD	50S ribosomal protein L30
groS	10 kDa chaperonin
hup	DNA-binding protein HU
dnaX_1	DNA polymerase III subunit tau
rplT	50S ribosomal protein L20
nlpD	Murein hydrolase activator NlpD precursor
group_6800	hypothetical protein
atpD	ATP synthase subunit beta
rplK	50S ribosomal protein L11
rpsC	30S ribosomal protein S3
rplP	50S ribosomal protein L16
rpsM	30S ribosomal protein S13
pitA_2	Low-affinity inorganic phosphate transporter 1
garK	Glycerate 2-kinase
moeA	Molybdopterin molybdenumtransferase
rpmE2	50S ribosomal protein L31 type B
secG	preprotein translocase subunit SecG
pdtaR	putative transcriptional regulatory protein pdtaR
atpE	ATP synthase subunit c
rpmF	50S ribosomal protein L32
rpoC	DNA-directed RNA polymerase subunit beta'
rpsS	30S ribosomal protein S19
rplN	50S ribosomal protein L14
infA	Translation initiation factor IF-1
clgR	Transcriptional regulator ClgR
ydfG_2	putative oxidoreductase
rpsG	30S ribosomal protein S7
rpmG2	50S ribosomal protein L33 2
carD	RNA polymerase-binding transcription factor CarD
rpoA	DNA-directed RNA polymerase subunit alpha
comEA	ComE operon protein 1
group_812	hypothetical protein
group_813	T5orf172 domain protein
ycjS_1	putative oxidoreductase YcjS
rsmC_2	Ribosomal RNA small subunit methyltransferase C
group_832	hypothetical protein
rpsL	30S ribosomal protein S12
rpsJ	30S ribosomal protein S10
rpsR1	30S ribosomal protein S18 1
mrcA	Penicillin-binding protein 1A
ribD_1	5-amino-6-(5-phosphoribosylamino)uracil reductase
ampH	D-alanyl-D-alanine-carboxypeptidase/endopeptidase AmpH precursor
group_918	replication factor C small subunit
mtlD_2	Mannitol-1-phosphate 5-dehydrogenase
rpsK	30S ribosomal protein S11
group_990	hypothetical protein
